facility_id,facility_name,region,days_observed,hours_covered,best_hour,best_hour_mean_waiting,worst_hour,worst_hour_mean_waiting,swing,usable
12934659,"HÔPITAL MAISONNEUVE-ROSEMONT","Montréal",10,24,09:00,29.2,18:00,48.9,19.7,yes
51216687,"CHUS - HÔPITAL FLEURIMONT","Estrie",10,24,07:00,13.8,20:00,27.3,13.5,yes
51216695,"CHUS - HÔTEL-DIEU DE SHERBROOKE","Estrie",10,24,10:00,11.3,22:00,22.7,11.4,yes
51217529,"HÔPITAL DU SAINT-SACREMENT","Capitale-Nationale",10,24,06:00,4.8,20:00,18.9,14.1,yes
51217586,"L'HÔTEL-DIEU DE QUÉBEC","Capitale-Nationale",10,24,05:00,1.2,15:00,8.1,6.9,yes
51217594,"CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL","Capitale-Nationale",10,24,08:00,12.2,00:00,27.0,14.8,yes
51217602,"HÔPITAL SAINT-FRANÇOIS D'ASSISE","Capitale-Nationale",10,24,07:00,5.0,16:00,19.0,14.0,yes
51217610,"HÔPITAL DE MONT-LAURIER","Laurentides",10,24,09:00,5.1,22:00,16.7,11.6,yes
51217628,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE","Laurentides",10,24,06:00,1.0,15:00,14.5,13.5,yes
51218097,"HÔPITAL DE VERDUN","Montréal",10,24,06:00,5.4,21:00,17.2,11.8,yes
51218352,"CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE","Bas-Saint-Laurent",10,24,06:00,0.6,13:00,11.8,11.2,yes
51218394,"HÔPITAL DE CHICOUTIMI","Saguenay-Lac-Saint-Jean",10,24,06:00,12.4,15:00,32.7,20.3,yes
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",10,24,04:00,0.3,17:00,4.5,4.2,no
51218519,"CENTRE DE SANTÉ RENÉ-RICARD","Nord-du-Québec",10,24,08:00,0.0,15:00,1.3,1.3,no
51218527,"CENTRE DE SANTÉ LEBEL","Nord-du-Québec",10,24,00:00,0.0,11:00,1.0,1.0,no
51218535,"CENTRE DE SANTÉ ISLE-DIEU","Nord-du-Québec",10,24,12:00,0.1,09:00,1.2,1.1,no
51218543,"CENTRE DE SANTÉ DE RADISSON","Nord-du-Québec",10,24,00:00,0.0,18:00,0.1,0.1,no
51218733,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS","Côte-Nord",10,24,02:00,0.0,14:00,6.2,6.2,yes
51218741,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE","Côte-Nord",10,24,02:00,0.0,15:00,5.3,5.3,yes
51218980,"HÔPITAL DE MATANE","Bas-Saint-Laurent",10,24,05:00,0.3,15:00,9.2,8.9,yes
51219046,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG","Estrie",10,24,06:00,3.7,16:00,15.7,12.0,yes
51219384,"HÔPITAL DE DOLBEAU-MISTASSINI","Saguenay-Lac-Saint-Jean",10,24,03:00,0.6,16:00,8.9,8.3,yes
51219400,"HÔPITAL D'ALMA","Saguenay-Lac-Saint-Jean",10,24,05:00,4.0,21:00,15.8,11.8,yes
51219418,"CLSC DE POHÉNÉGAMOOK","Bas-Saint-Laurent",10,24,03:00,0.0,15:00,4.2,4.2,no
51219459,"HÔPITAL ET CHSLD DU PONTIAC","Outaouais",10,24,02:00,0.3,18:00,6.3,6.0,yes
51219491,"CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION","Outaouais",10,24,00:00,0.0,13:00,4.5,4.5,no
51220903,"HÔPITAL DE GASPÉ","Gaspésie-Îles-de-la-Madeleine",10,24,06:00,1.2,16:00,6.8,5.6,yes
51220978,"CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC","Gaspésie-Îles-de-la-Madeleine",10,24,01:00,0.0,16:00,6.8,6.8,yes
51221141,"HÔPITAL NOTRE-DAME-DE-FATIMA","Bas-Saint-Laurent",10,24,02:00,0.0,17:00,6.2,6.2,yes
51221307,"CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE","Gaspésie-Îles-de-la-Madeleine",10,24,17:00,0.7,13:00,2.2,1.5,no
51221364,"HÔPITAL DE LA BAIE","Saguenay-Lac-Saint-Jean",10,24,05:00,1.4,20:00,13.1,11.7,yes
51221703,"HÔPITAL DE GATINEAU","Outaouais",10,24,06:00,27.7,22:00,40.3,12.6,yes
51221711,"HÔPITAL DE HULL","Outaouais",10,24,09:00,14.7,23:00,26.1,11.4,yes
51221877,"HÔPITAL DE NOTRE-DAME-DU-LAC","Bas-Saint-Laurent",10,24,03:00,0.0,13:00,5.9,5.9,yes
51221893,"HÔPITAL DE MANIWAKI","Outaouais",10,24,02:00,0.3,16:00,9.0,8.7,yes
51222800,"CHU SAINTE-JUSTINE","Montréal",10,24,11:00,7.7,23:00,29.4,21.7,yes
51223279,"L'HÔPITAL DE MONTRÉAL POUR ENFANTS","Montréal",10,24,09:00,12.4,01:00,28.3,15.9,yes
51223295,"HÔPITAL ROYAL VICTORIA","Montréal",10,24,10:00,22.2,00:00,36.4,14.2,yes
51223832,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT","Estrie",10,24,03:00,0.6,20:00,14.3,13.8,yes
51224392,"HÔPITAL DE LASALLE","Montréal",10,24,06:00,11.3,16:00,19.6,8.3,yes
51224541,"HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE","Saguenay-Lac-Saint-Jean",10,24,06:00,5.0,22:00,17.4,12.4,yes
51225001,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU","Capitale-Nationale",10,24,01:00,0.0,17:00,29.0,29.0,yes
51225357,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ","Capitale-Nationale",10,24,04:00,0.2,16:00,8.4,8.2,yes
51225589,"HÔPITAL DE VAL-D'OR","Abitibi-Témiscamingue",10,24,05:00,5.4,21:00,17.2,11.8,yes
51226892,"HÔPITAL D'AMQUI","Bas-Saint-Laurent",10,24,03:00,0.0,15:00,7.3,7.3,yes
51227569,"HÔTEL-DIEU DE LÉVIS","Chaudière-Appalaches",10,24,05:00,6.1,15:00,27.2,21.1,yes
51227775,"HÔPITAL DE CHANDLER","Gaspésie-Îles-de-la-Madeleine",10,24,05:00,0.4,19:00,9.7,9.2,yes
51227783,"HÔPITAL DE L'ARCHIPEL","Gaspésie-Îles-de-la-Madeleine",10,24,02:00,0.0,20:00,4.0,4.0,no
51227882,"HÔPITAL RÉGIONAL DE RIMOUSKI","Bas-Saint-Laurent",10,24,07:00,5.4,15:00,17.0,11.6,yes
51227908,"HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA","Gaspésie-Îles-de-la-Madeleine",10,24,05:00,0.8,17:00,9.7,8.9,yes
51228005,"HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL","Montérégie",10,24,09:00,17.3,15:00,25.8,8.5,yes
51228062,"HÔPITAL PIERRE-LE GARDEUR","Lanaudière",10,24,10:00,23.5,21:00,50.5,27.0,yes
51228120,"HÔPITAL DE GRANBY","Estrie",10,24,10:00,20.6,22:00,36.4,15.8,yes
