region_code,permis_a,installation_a,permis_b,installation_b,hours_compared,pct_hours_a_shorter,pct_hours_b_shorter,pct_tied,mean_gap_people
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51218097,HÔPITAL DE VERDUN,251,2,98,0,26.9
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51222800,CHU SAINTE-JUSTINE,250,10,89,2,24.3
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51223279,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,251,15,84,1,24.6
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51223295,HÔPITAL ROYAL VICTORIA,251,30,69,1,16.2
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51224392,HÔPITAL DE LASALLE,251,5,94,1,24.4
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51228278,HÔPITAL GÉNÉRAL DU LAKESHORE,250,7,92,1,23.1
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51228310,HÔPITAL DE LACHINE,251,1,98,1,31.2
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51235190,HÔPITAL DOUGLAS,251,0,100,0,37.7
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51235307,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,251,0,100,0,38.6
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51235919,HÔPITAL SANTA CABRINI,250,4,94,1,23.2
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51236297,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,250,46,50,3,13.5
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51236313,HÔPITAL NOTRE-DAME,250,1,98,1,27.2
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51248201,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,251,0,100,0,37
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51248219,HÔPITAL GÉNÉRAL DE MONTRÉAL,251,2,98,0,27.8
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51248243,CENTRE HOSPITALIER DE ST. MARY,251,2,96,2,24.9
06,12934659,HÔPITAL MAISONNEUVE-ROSEMONT,51248250,HÔPITAL GÉNÉRAL JUIF,249,27,72,2,15.8
05,51216687,CHUS - HÔPITAL FLEURIMONT,51216695,CHUS - HÔTEL-DIEU DE SHERBROOKE,252,34,63,3,7.7
05,51216687,CHUS - HÔPITAL FLEURIMONT,51219046,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,252,12,87,2,11.4
05,51216687,CHUS - HÔPITAL FLEURIMONT,51223832,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,252,5,93,2,13.2
05,51216687,CHUS - HÔPITAL FLEURIMONT,51228120,HÔPITAL DE GRANBY,252,79,19,2,10.8
05,51216687,CHUS - HÔPITAL FLEURIMONT,51229185,HÔPITAL BROME-MISSISQUOI-PERKINS,252,44,51,6,5.1
05,51216687,CHUS - HÔPITAL FLEURIMONT,51247583,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,252,4,95,1,12.9
05,51216687,CHUS - HÔPITAL FLEURIMONT,51247617,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,252,6,93,1,14.9
05,51216695,CHUS - HÔTEL-DIEU DE SHERBROOKE,51219046,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,252,19,78,3,8.7
