facility_id,facility_name,region_name,hours,distinct_published_values,smallest_step_pct,implied_stretchers,people_min,people_max,hour_pairs_scored,agree_pct,disagree_pct,blind_pct
51218543,CENTRE DE SANTÉ DE RADISSON,Nord-du-Québec,232,1,,,0,3,17493,0.0,0.0,100.0
51221307,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE,Gaspésie-Îles-de-la-Madeleine,232,1,,,0,14,19047,0.0,0.0,100.0
51218535,CENTRE DE SANTÉ ISLE-DIEU,Nord-du-Québec,232,2,100.0,1,0,10,21111,11.7,2.4,85.8
51218519,CENTRE DE SANTÉ RENÉ-RICARD,Nord-du-Québec,232,2,100.0,1,0,5,19053,14.3,6.1,79.5
51245058,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,Outaouais,232,4,50.0,2,0,14,24150,20.5,6.4,73.1
51247476,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA,Abitibi-Témiscamingue,232,3,100.0,1,0,13,18322,31.3,4.7,63.9
51245108,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT,Côte-Nord,232,3,50.0,2,0,19,24783,28.6,14.9,56.5
51245140,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD,Côte-Nord,232,4,25.0,4,0,8,16174,46.3,2.7,51.0
51218527,CENTRE DE SANTÉ LEBEL,Nord-du-Québec,232,2,50.0,2,0,9,21316,37.2,13.5,49.3
51219418,CLSC DE POHÉNÉGAMOOK,Bas-Saint-Laurent,232,3,33.0,3,0,12,22345,29.0,25.0,46.1
51247732,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE,Gaspésie-Îles-de-la-Madeleine,232,4,50.0,2,0,10,21833,46.3,12.6,41.1
51219491,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,Outaouais,232,4,50.0,2,0,19,18795,57.3,5.1,37.6
51236156,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,Bas-Saint-Laurent,231,4,33.0,3,0,16,23967,41.8,21.7,36.4
51218741,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,Côte-Nord,232,5,20.0,5,0,14,23769,50.1,14.7,35.2
51225001,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,Capitale-Nationale,232,5,20.0,5,1,71,24706,60.0,8.0,32.0
51247583,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,Estrie,232,6,14.0,7,0,23,25376,35.6,35.6,28.8
51218733,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS,Côte-Nord,232,5,33.0,3,0,18,24520,50.6,20.6,28.8
51247617,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,Estrie,232,7,16.0,6,0,31,22412,63.9,7.8,28.2
51247344,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,Capitale-Nationale,232,8,33.0,3,1,18,24926,55.2,20.4,24.4
51225357,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,Capitale-Nationale,232,6,25.0,4,0,26,25008,50.2,25.5,24.2
51247542,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE,Abitibi-Témiscamingue,232,7,20.0,5,0,18,24955,50.6,28.2,21.1
51219459,HÔPITAL ET CHSLD DU PONTIAC,Outaouais,232,8,25.0,4,0,19,24895,37.0,42.1,20.8
51227783,HÔPITAL DE L'ARCHIPEL,Gaspésie-Îles-de-la-Madeleine,232,8,16.0,6,0,15,24712,64.3,15.3,20.4
51220978,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,Gaspésie-Îles-de-la-Madeleine,232,7,25.0,4,0,18,24828,56.6,23.9,19.5
51244804,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,Capitale-Nationale,232,8,12.0,8,0,20,25122,55.0,26.5,18.5
51245116,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,Côte-Nord,232,7,50.0,2,0,11,23584,69.8,12.0,18.1
51223832,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,Estrie,232,9,20.0,5,0,25,25439,55.1,27.0,17.9
51221141,HÔPITAL NOTRE-DAME-DE-FATIMA,Bas-Saint-Laurent,232,8,14.0,7,0,20,25094,61.0,21.2,17.8
51247559,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,Abitibi-Témiscamingue,232,8,20.0,5,0,22,25397,64.7,17.9,17.4
51247799,HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,Gaspésie-Îles-de-la-Madeleine,232,8,16.0,6,0,20,25090,62.0,20.9,17.1
51245132,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER,Côte-Nord,232,7,20.0,5,1,20,25182,61.7,21.3,16.9
51228799,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,Outaouais,232,8,25.0,4,1,31,25729,55.2,28.1,16.7
51228690,HÔPITAL ET CLSC DE LA MALBAIE,Capitale-Nationale,232,9,11.0,9,1,20,25030,55.1,28.5,16.3
51227775,HÔPITAL DE CHANDLER,Gaspésie-Îles-de-la-Madeleine,232,10,12.0,8,2,33,25558,52.3,31.7,16.0
51218501,CENTRE DE SANTÉ DE CHIBOUGAMAU,Nord-du-Québec,232,11,16.0,6,2,20,24455,62.4,21.7,16.0
51226892,HÔPITAL D'AMQUI,Bas-Saint-Laurent,232,8,16.0,6,0,20,25179,65.6,18.7,15.7
51228922,HÔPITAL DE ROUYN-NORANDA,Abitibi-Témiscamingue,232,10,12.0,8,5,44,25891,58.3,26.9,14.8
51221364,HÔPITAL DE LA BAIE,Saguenay-Lac-Saint-Jean,232,10,14.0,7,3,28,25501,51.1,34.3,14.6
51221877,HÔPITAL DE NOTRE-DAME-DU-LAC,Bas-Saint-Laurent,232,9,20.0,5,4,22,25003,70.1,15.3,14.6
51218980,HÔPITAL DE MATANE,Bas-Saint-Laurent,232,10,14.0,7,0,28,25513,69.6,15.9,14.4
51220903,HÔPITAL DE GASPÉ,Gaspésie-Îles-de-la-Madeleine,232,12,16.0,6,6,27,25078,52.0,33.7,14.3
51227908,HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA,Gaspésie-Îles-de-la-Madeleine,232,11,10.0,10,2,28,25495,62.1,24.0,13.9
51219384,HÔPITAL DE DOLBEAU-MISTASSINI,Saguenay-Lac-Saint-Jean,232,10,10.0,10,4,24,25214,49.3,36.8,13.8
51228005,HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,Montérégie,232,11,20.0,5,12,45,25806,50.7,35.5,13.8
