facility_id,facility_name,region_name,slug,weekday,hour_local,n_readings,median_occupancy_pct,median_waiting
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,0,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,1,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,2,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,3,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,4,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,5,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,6,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,7,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,8,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,9,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,10,1,50,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,11,1,67,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,12,1,67,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,13,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,14,1,50,2
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,15,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,16,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,17,1,50,3
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,18,1,33,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,19,1,17,2
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,20,1,17,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,21,1,33,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,22,1,33,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Sun,23,1,33,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,0,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,1,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,2,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,3,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,4,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,5,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,6,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,7,1,50,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,8,1,50,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,9,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,10,1,50,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,11,1,50,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,12,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,13,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,14,1,83,3
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,15,1,100,3
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,16,1,117,2
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,17,1,100,5
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,18,1,83,4
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,19,1,83,3
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,20,1,83,4
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,21,1,67,3
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,22,1,67,2
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Mon,23,1,67,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,0,1,83,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,1,1,83,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,2,1,100,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,3,1,100,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,4,1,117,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,5,1,133,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,6,1,133,0
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,7,1,133,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,8,1,117,2
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,9,1,117,4
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,10,1,100,1
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,11,1,83,4
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,Tue,12,1,100,6
