facility_id,facility_name,region_name,hours,first_hour,last_hour,los_stretcher_n,los_stretcher_mean_h,los_stretcher_mean_nonzero_h,los_stretcher_max_h,los_stretcher_zero_hours,los_ambulatory_n,los_ambulatory_mean_h,los_ambulatory_mean_nonzero_h,los_ambulatory_max_h,los_ambulatory_zero_hours
51247559,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,9.7,9.7,14.08,0,181,3.46,3.46,4.58,0
51247476,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,2.79,8.28,30.18,120,181,2.07,2.07,4.45,0
51247542,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,11.52,11.52,18.87,0,181,4.14,4.14,5.7,0
51228906,HÔPITAL D'AMOS,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,10.66,10.66,15.1,0,181,4.03,4.03,5.57,0
51228922,HÔPITAL DE ROUYN-NORANDA,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,12.22,12.22,16.58,0,181,5.98,5.98,11.23,0
51225589,HÔPITAL DE VAL-D'OR,Abitibi-Témiscamingue,181,2026-09-03T21:00,2026-09-11T09:00,181,11.89,11.89,16.28,0,181,5.58,5.58,7.83,0
51218352,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,11.07,11.07,12.63,0,181,3.74,3.74,4.67,0
51236156,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,180,5.06,5.84,12.12,24,180,2.54,2.54,4.57,0
51219418,CLSC DE POHÉNÉGAMOOK,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,6.59,7.59,21.32,24,181,1.82,1.82,3.72,0
51226892,HÔPITAL D'AMQUI,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,6.58,6.58,8.83,0,181,3,3,4.17,0
51218980,HÔPITAL DE MATANE,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,5.41,5.41,9.78,0,181,3.66,3.66,5.58,0
51221877,HÔPITAL DE NOTRE-DAME-DU-LAC,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,7.21,7.21,12.7,0,181,2.67,2.67,3.73,0
51221141,HÔPITAL NOTRE-DAME-DE-FATIMA,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,6.8,6.8,8.48,0,181,2.95,2.95,3.82,0
51227882,HÔPITAL RÉGIONAL DE RIMOUSKI,Bas-Saint-Laurent,181,2026-09-03T21:00,2026-09-11T09:00,181,12.69,12.69,16.08,0,181,5.13,5.13,7.53,0
51217594,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,Capitale-Nationale,181,2026-09-03T21:00,2026-09-11T09:00,181,10.78,10.78,13.58,0,181,5.02,5.02,5.77,0
