facility_id,facility_name,region,slug,hours_observed,hours_over_100,share_hours_over_100_pct,episodes_over_100,median_episode_hours,mean_episode_hours,longest_episode_hours,episodes_ending_within_archive,median_hours_to_recover
51218501,"CENTRE DE SANTÉ DE CHIBOUGAMAU","Nord-du-Québec",centre-de-sante-de-chibougamau,252,61,24.2,14,3.5,4.4,12,14,3.5
51218543,"CENTRE DE SANTÉ DE RADISSON","Nord-du-Québec",centre-de-sante-de-radisson,252,0,0.0,0,,,,0,
51218535,"CENTRE DE SANTÉ ISLE-DIEU","Nord-du-Québec",centre-de-sante-isle-dieu,252,0,0.0,0,,,,0,
51218527,"CENTRE DE SANTÉ LEBEL","Nord-du-Québec",centre-de-sante-lebel,252,0,0.0,0,,,,0,
51218519,"CENTRE DE SANTÉ RENÉ-RICARD","Nord-du-Québec",centre-de-sante-rene-ricard,252,0,0.0,0,,,,0,
51236297,"CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL","Montréal",centre-hospitalier-de-l-universite-de-montreal,251,232,92.4,6,40.5,38.7,71,5,21
51217594,"CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL","Capitale-Nationale",centre-hospitalier-de-l-universite-laval,252,90,35.7,17,2,5.3,28,16,2.5
51248243,"CENTRE HOSPITALIER DE ST. MARY","Montréal",centre-hospitalier-de-st-mary,252,221,87.7,12,16.5,18.4,64,12,16.5
51218352,"CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE","Bas-Saint-Laurent",centre-hospitalier-regional-du-grand-portage,252,53,21.0,12,3,4.4,11,12,3
51225001,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-chauveau,252,0,0.0,0,,,,0,
51245306,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL","Laurentides",centre-multiservices-de-sante-et-de-services-sociaux-d-argenteuil,252,114,45.2,16,4.5,7.1,26,16,4.5
51244804,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-de-baie-saint-paul,252,0,0.0,0,,,,0,
51245108,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-fermont,252,0,0.0,0,,,,0,
51218741,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-forestville,252,0,0.0,0,,,,0,
51247732,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE","Gaspésie-Îles-de-la-Madeleine",centre-multiservices-de-sante-et-de-services-sociaux-de-grande-vallee,252,1,0.4,1,1,1.0,1,1,1
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,252,0,0.0,0,,,,0,
51245116,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-minganie,252,53,21.0,7,4,7.6,22,7,4
51247617,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK","Estrie",centre-multiservices-de-sante-et-de-services-sociaux-de-la-mrc-de-coaticook,252,3,1.2,2,1.5,1.5,2,2,1.5
51247559,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE","Abitibi-Témiscamingue",centre-multiservices-de-sante-et-de-services-sociaux-de-la-sarre,252,19,7.5,9,2,2.1,3,9,2
51245058,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT","Outaouais",centre-multiservices-de-sante-et-de-services-sociaux-de-mansfield-et-pontefract,252,1,0.4,1,1,1.0,1,1,1
51219046,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG","Estrie",centre-multiservices-de-sante-et-de-services-sociaux-de-memphremagog,252,90,35.7,19,2,4.7,23,19,2
51245132,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-port-cartier,252,35,13.9,6,4.5,5.8,15,6,4.5
51217628,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE","Laurentides",centre-multiservices-de-sante-et-de-services-sociaux-de-riviere-rouge,252,103,40.9,12,4,8.6,33,12,4
51247344,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-de-saint-marc-des-carrieres,252,33,13.1,7,3,4.7,15,7,3
51247302,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-de-saint-raymond,252,22,8.7,7,3,3.1,5,7,3
51246874,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE","Laurentides",centre-multiservices-de-sante-et-de-services-sociaux-de-sainte-agathe,251,189,75.3,13,8,14.5,67,12,9
51225357,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-de-sainte-anne-de-beaupre,252,2,0.8,2,1,1.0,1,2,1
51247476,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA","Abitibi-Témiscamingue",centre-multiservices-de-sante-et-de-services-sociaux-de-temiscaming-kipawa,252,1,0.4,1,1,1.0,1,1,1
51236156,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES","Bas-Saint-Laurent",centre-multiservices-de-sante-et-de-services-sociaux-de-trois-pistoles,251,0,0.0,0,,,,0,
51247542,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE","Abitibi-Témiscamingue",centre-multiservices-de-sante-et-de-services-sociaux-de-ville-marie,252,5,2.0,2,2.5,2.5,3,2,2.5
51218733,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-des-escoumins,252,1,0.4,1,1,1.0,1,1,1
51247583,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES","Estrie",centre-multiservices-de-sante-et-de-services-sociaux-des-sources,252,0,0.0,0,,,,0,
51223832,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT","Estrie",centre-multiservices-de-sante-et-de-services-sociaux-du-granit,252,16,6.3,7,2,2.3,4,7,2
51222800,"CHU SAINTE-JUSTINE","Montréal",chu-sainte-justine,251,133,53.0,20,6,6.7,18,19,6
51216687,"CHUS - HÔPITAL FLEURIMONT","Estrie",chus-hopital-fleurimont,252,35,13.9,11,1,3.2,8,11,1
51216695,"CHUS - HÔTEL-DIEU DE SHERBROOKE","Estrie",chus-hotel-dieu-de-sherbrooke,252,217,86.1,3,57,72.3,149,2,34
51219418,"CLSC DE POHÉNÉGAMOOK","Bas-Saint-Laurent",clsc-de-pohenegamook,252,0,0.0,0,,,,0,
51219491,"CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION","Outaouais",clsc-et-centre-d-hebergement-de-la-petite-nation,252,2,0.8,2,1,1.0,1,2,1
51221307,"CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE","Gaspésie-Îles-de-la-Madeleine",clsc-et-centre-de-services-ambulatoires-de-murdochville,252,0,0.0,0,,,,0,
51220978,"CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC","Gaspésie-Îles-de-la-Madeleine",clsc-et-centre-de-services-ambulatoires-de-paspebiac,252,9,3.6,5,1,1.8,4,5,1
51228765,"CLSC ET HÔPITAL LE ROYER","Côte-Nord",clsc-et-hopital-le-royer,252,23,9.1,8,2.5,2.9,5,7,1
51229151,"HÔPITAL ANNA-LABERGE","Montérégie",hopital-anna-laberge,248,223,89.9,7,3,31.9,115,7,3
51228005,"HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL","Montérégie",hopital-barrie-memorial-barrie-memorial-hospital,252,99,39.3,9,5,11.0,33,9,5
51229185,"HÔPITAL BROME-MISSISQUOI-PERKINS","Estrie",hopital-brome-missisquoi-perkins,252,142,56.3,17,4,8.4,42,16,5
51233799,"HÔPITAL CHARLES-LE MOYNE","Montérégie",hopital-charles-le-moyne,249,201,80.7,11,15,18.3,86,11,15
51219400,"HÔPITAL D'ALMA","Saguenay-Lac-Saint-Jean",hopital-d-alma,252,0,0.0,0,,,,0,
51228906,"HÔPITAL D'AMOS","Abitibi-Témiscamingue",hopital-d-amos,252,141,56.0,20,5,7.0,36,19,6
51226892,"HÔPITAL D'AMQUI","Bas-Saint-Laurent",hopital-d-amqui,252,6,2.4,3,2,2.0,2,2,2
