facility,region,slug,decisions,no_difference_pct,better_pct_when_it_mattered,median_people_fewer,mean_people_fewer
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,Estrie,centre-multiservices-de-sante-et-de-services-sociaux-de-la-mrc-de-coaticook,209,41.6,84.4,6.0,5.13
CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,Outaouais,clsc-et-centre-d-hebergement-de-la-petite-nation,209,67.0,72.5,3,2.38
HÔPITAL GÉNÉRAL JUIF,Montréal,hopital-general-juif,207,13.0,71.1,5.0,6.58
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE,Gaspésie-Îles-de-la-Madeleine,centre-multiservices-de-sante-et-de-services-sociaux-de-grande-vallee,209,56.9,71.1,1.0,0.93
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,Côte-Nord,centre-multiservices-de-sante-et-de-services-sociaux-de-forestville,209,43.5,67.8,1.0,1.34
CENTRE DE SANTÉ RENÉ-RICARD,Nord-du-Québec,centre-de-sante-rene-ricard,209,73.7,67.3,1,0.4
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,Outaouais,centre-multiservices-de-sante-et-de-services-sociaux-de-mansfield-et-pontefract,209,43.1,66.4,1,0.5
CHSLD ET HÔPITAL PAUL-GILBERT,Chaudière-Appalaches,chsld-et-hopital-paul-gilbert,209,34.4,65.0,4,5.48
HÔTEL-DIEU DE LÉVIS,Chaudière-Appalaches,hotel-dieu-de-levis,209,8.6,64.9,3,2.94
HÔPITAL DE THETFORD,Chaudière-Appalaches,hopital-de-thetford,208,12.0,63.4,2,1.99
HÔPITAL DE MONTMAGNY,Chaudière-Appalaches,hopital-de-montmagny,209,16.3,63.4,1,1.67
HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,Montérégie,hopital-barrie-memorial-barrie-memorial-hospital,209,12.4,62.8,2,2.61
HÔPITAL PIERRE-LE GARDEUR,Lanaudière,hopital-pierre-le-gardeur,206,5.3,62.6,3,3.38
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,Capitale-Nationale,centre-multiservices-de-sante-et-de-services-sociaux-chauveau,209,39.7,61.9,4.0,7.94
HÔPITAL DE L'ENFANT-JÉSUS,Capitale-Nationale,hopital-de-l-enfant-jesus,209,2.4,61.8,1.0,2.06
HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,Gaspésie-Îles-de-la-Madeleine,hopital-et-clsc-de-sainte-anne-des-monts,209,31.6,61.5,1,0.73
CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,Bas-Saint-Laurent,centre-hospitalier-regional-du-grand-portage,209,15.8,61.4,1.0,1.19
HÔPITAL ET CLSC DE SEPT-ÎLES,Côte-Nord,hopital-et-clsc-de-sept-iles,209,10.5,61.0,2,1.37
HÔPITAL DE CHICOUTIMI,Saguenay-Lac-Saint-Jean,hopital-de-chicoutimi,208,6.7,60.8,2.0,2.27
HÔPITAL ANNA-LABERGE,Montérégie,hopital-anna-laberge,205,4.9,60.5,2,1.54
HÔPITAL DE MANIWAKI,Outaouais,hopital-de-maniwaki,209,26.3,60.4,1.0,1.26
HÔTEL-DIEU DE SOREL,Montérégie,hotel-dieu-de-sorel,209,9.6,60.3,1,1.05
HÔPITAL DE NOTRE-DAME-DU-LAC,Bas-Saint-Laurent,hopital-de-notre-dame-du-lac,209,37.3,60.3,1,0.92
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS,Côte-Nord,centre-multiservices-de-sante-et-de-services-sociaux-des-escoumins,209,40.2,60.0,1,1.43
HÔPITAL DE SAINT-GEORGES,Chaudière-Appalaches,hopital-de-saint-georges,209,9.6,59.8,1,1.01
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,Estrie,centre-multiservices-de-sante-et-de-services-sociaux-de-memphremagog,209,11.0,59.1,1.0,1.18
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER,Côte-Nord,centre-multiservices-de-sante-et-de-services-sociaux-de-port-cartier,209,34.4,59.1,1,1.04
CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,Gaspésie-Îles-de-la-Madeleine,clsc-et-centre-de-services-ambulatoires-de-paspebiac,209,36.8,59.1,1.0,0.86
HÔPITAL DU SAINT-SACREMENT,Capitale-Nationale,hopital-du-saint-sacrement,209,8.6,58.6,2,1.38
HÔPITAL DE VAL-D'OR,Abitibi-Témiscamingue,hopital-de-val-d-or,209,14.8,58.4,1.0,0.91
HÔPITAL SAINT-FRANÇOIS D'ASSISE,Capitale-Nationale,hopital-saint-francois-d-assise,209,12.0,58.2,1.0,1.78
HÔPITAL RÉGIONAL DE RIMOUSKI,Bas-Saint-Laurent,hopital-regional-de-rimouski,209,12.9,58.2,1.0,0.6
HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,Saguenay-Lac-Saint-Jean,hopital-et-centre-de-readaptation-de-jonquiere,209,13.9,57.8,1.0,1.11
HÔPITAL ET CLSC DE LA MALBAIE,Capitale-Nationale,hopital-et-clsc-de-la-malbaie,209,34.4,57.7,1,0.24
HÔPITAL DOUGLAS,Montréal,hopital-douglas,209,53.6,57.7,1,0.79
HÔPITAL GÉNÉRAL DE MONTRÉAL,Montréal,hopital-general-de-montreal,209,8.6,57.6,1,0.71
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,Capitale-Nationale,centre-multiservices-de-sante-et-de-services-sociaux-de-saint-raymond,209,24.4,57.6,1.0,0.87
HÔPITAL DE HULL,Outaouais,hopital-de-hull,208,13.5,56.7,1.0,1.42
