region,facility_name,establishment,facility_id,percentage_step_points,derived_stretcher_count,distinct_values_published,min_published,max_published,hours_observed
Abitibi-Témiscamingue,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,51247559,20,5,7,20,140,163
Abitibi-Témiscamingue,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,51247542,20,5,6,20,120,163
Abitibi-Témiscamingue,HÔPITAL D'AMOS,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,51228906,14,7,14,14,214,163
Abitibi-Témiscamingue,HÔPITAL DE ROUYN-NORANDA,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,51228922,12,8,9,25,125,163
Abitibi-Témiscamingue,HÔPITAL DE VAL-D'OR,SANTÉ QUÉBEC ABITIBI-TÉMISCAMINGUE,51225589,9,11,12,9,109,163
Bas-Saint-Laurent,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51218352,11,9,13,33,167,163
Bas-Saint-Laurent,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51236156,33,3,3,33,100,163
Bas-Saint-Laurent,HÔPITAL D'AMQUI,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51226892,16,6,6,17,100,163
Bas-Saint-Laurent,HÔPITAL DE MATANE,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51218980,14,7,7,14,100,163
Bas-Saint-Laurent,HÔPITAL DE NOTRE-DAME-DU-LAC,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51221877,20,5,7,20,140,163
Bas-Saint-Laurent,HÔPITAL NOTRE-DAME-DE-FATIMA,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51221141,14,7,7,14,100,163
Bas-Saint-Laurent,HÔPITAL RÉGIONAL DE RIMOUSKI,SANTÉ QUÉBEC BAS-SAINT-LAURENT,51227882,8,13,11,42,142,163
Capitale-Nationale,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,51217594,2,50,28,60,123,163
Capitale-Nationale,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51225001,20,5,4,20,80,163
Capitale-Nationale,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51244804,12,8,6,13,75,163
Capitale-Nationale,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51247344,33,3,6,33,200,163
Capitale-Nationale,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51247302,14,7,11,14,157,163
Capitale-Nationale,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51225357,25,4,5,25,125,163
Capitale-Nationale,HÔPITAL DE L'ENFANT-JÉSUS,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,51233914,2,50,28,67,133,163
Capitale-Nationale,HÔPITAL DU SAINT-SACREMENT,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,51217529,4,25,16,55,123,163
Capitale-Nationale,HÔPITAL ET CLSC DE LA MALBAIE,SANTÉ QUÉBEC CAPITALE-NATIONALE - UNIVERSITAIRE,51228690,11,9,8,11,89,163
Capitale-Nationale,HÔPITAL SAINT-FRANÇOIS D'ASSISE,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,51217602,2,50,22,62,135,163
Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,SANTÉ QUÉBEC - INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,51232130,5,20,17,65,145,163
Capitale-Nationale,L'HÔTEL-DIEU DE QUÉBEC,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,51217586,6,17,14,47,140,163
Chaudière-Appalaches,HÔPITAL DE MONTMAGNY,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,51245223,10,10,12,30,140,163
Chaudière-Appalaches,HÔPITAL DE SAINT-GEORGES,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,51228971,4,25,31,24,195,163
Chaudière-Appalaches,HÔPITAL DE THETFORD,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,51245231,6,17,12,47,120,163
Chaudière-Appalaches,HÔTEL-DIEU DE LÉVIS,SANTÉ QUÉBEC CHAUDIÈRE-APPALACHES,51227569,2,50,36,72,156,163
Côte-Nord,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,SANTÉ QUÉBEC CÔTE-NORD,51218741,20,5,4,20,80,163
Côte-Nord,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD,SANTÉ QUÉBEC CÔTE-NORD,51245140,25,4,3,25,75,163
Côte-Nord,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,SANTÉ QUÉBEC CÔTE-NORD,51245116,50,2,6,50,300,163
Côte-Nord,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER,SANTÉ QUÉBEC CÔTE-NORD,51245132,20,5,7,20,140,163
