facility_id,facility_name,region_name,slug,quietest_day,quietest_day_mean_present,busiest_day,busiest_day_mean_present,swing_people,mean_sunday,mean_monday,mean_tuesday,mean_wednesday,mean_thursday,mean_friday,mean_saturday
51223279,"L'HÔPITAL DE MONTRÉAL POUR ENFANTS","Montréal",l-hopital-de-montreal-pour-enfants,Thursday,37.8,Sunday,83.5,45.7,83.5,64.1,54.4,49.9,37.8,43.6,76.5
12934659,"HÔPITAL MAISONNEUVE-ROSEMONT","Montréal",hopital-maisonneuve-rosemont,Sunday,90.3,Wednesday,134.6,44.3,90.3,102.9,134.0,134.6,112.3,115.6,108.7
51233799,"HÔPITAL CHARLES-LE MOYNE","Montérégie",hopital-charles-le-moyne,Sunday,95.8,Wednesday,125.9,30.0,95.8,98.6,110.1,125.9,115.9,117.0,114.0
51217594,"CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL","Capitale-Nationale",centre-hospitalier-de-l-universite-laval,Saturday,54.0,Tuesday,83.5,29.5,60.6,71.6,83.5,78.4,73.1,67.4,54.0
51216695,"CHUS - HÔTEL-DIEU DE SHERBROOKE","Estrie",chus-hotel-dieu-de-sherbrooke,Saturday,61.8,Tuesday,90.8,29.1,62.9,80.7,90.8,73.1,73.8,70.3,61.8
51223295,"HÔPITAL ROYAL VICTORIA","Montréal",hopital-royal-victoria,Saturday,97.3,Thursday,125.0,27.7,107.2,112.0,107.1,124.0,125.0,104.3,97.3
51227569,"HÔTEL-DIEU DE LÉVIS","Chaudière-Appalaches",hotel-dieu-de-levis,Saturday,65.2,Wednesday,91.5,26.3,68.9,77.7,82.8,91.5,83.0,74.7,65.2
51228864,"HÔPITAL DE SAINT-EUSTACHE","Laurentides",hopital-de-saint-eustache,Sunday,72.8,Wednesday,97.4,24.7,72.8,84.8,88.9,97.4,94.0,96.4,87.2
51248250,"HÔPITAL GÉNÉRAL JUIF","Montréal",hopital-general-juif,Saturday,124.8,Wednesday,149.0,24.3,129.5,146.0,147.2,149.0,141.2,133.6,124.8
51233914,"HÔPITAL DE L'ENFANT-JÉSUS","Capitale-Nationale",hopital-de-l-enfant-jesus,Saturday,62.3,Tuesday,85.9,23.7,62.7,78.5,85.9,79.4,76.0,70.0,62.3
51228880,"HÔPITAL DE SAINT-JÉRÔME","Laurentides",hopital-de-saint-jerome,Sunday,89.8,Tuesday,113.0,23.3,89.8,97.3,113.0,93.5,94.4,103.1,92.2
51221703,"HÔPITAL DE GATINEAU","Outaouais",hopital-de-gatineau,Wednesday,62.5,Sunday,83.2,20.7,83.2,77.2,68.1,62.5,74.4,79.3,68.2
51229102,"HÔTEL-DIEU DE SOREL","Montérégie",hotel-dieu-de-sorel,Monday,34.1,Wednesday,53.8,19.7,36.4,34.1,46.6,53.8,43.5,44.3,43.7
51216687,"CHUS - HÔPITAL FLEURIMONT","Estrie",chus-hopital-fleurimont,Friday,47.9,Tuesday,67.3,19.5,51.8,67.0,67.3,61.1,57.8,47.9,51.5
51228120,"HÔPITAL DE GRANBY","Estrie",hopital-de-granby,Monday,50.8,Saturday,69.9,19.1,54.0,50.8,60.4,59.0,57.3,51.7,69.9
51217602,"HÔPITAL SAINT-FRANÇOIS D'ASSISE","Capitale-Nationale",hopital-saint-francois-d-assise,Saturday,40.2,Tuesday,57.2,17.0,49.5,52.8,57.2,50.8,51.9,45.3,40.2
51228757,"HÔPITAL DE LA CITÉ-DE-LA-SANTÉ","Laval",hopital-de-la-cite-de-la-sante,Saturday,116.9,Wednesday,133.8,16.9,125.3,121.7,130.7,133.8,133.5,123.4,116.9
51225001,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU","Capitale-Nationale",centre-multiservices-de-sante-et-de-services-sociaux-chauveau,Saturday,11.7,Tuesday,28.0,16.4,16.1,24.2,28.0,24.1,25.8,24.7,11.7
51218097,"HÔPITAL DE VERDUN","Montréal",hopital-de-verdun,Saturday,44.2,Tuesday,60.4,16.3,54.4,55.0,60.4,59.4,50.5,51.2,44.2
51244945,"HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND","Lanaudière",hopital-de-lanaudiere-et-centre-d-hebergement-parphilia-ferland,Thursday,83.5,Saturday,99.8,16.3,87.1,94.5,95.6,95.4,83.5,90.5,99.8
51235919,"HÔPITAL SANTA CABRINI","Montréal",hopital-santa-cabrini,Saturday,52.3,Wednesday,68.6,16.2,54.9,53.8,58.6,68.6,67.2,54.5,52.3
51219400,"HÔPITAL D'ALMA","Saguenay-Lac-Saint-Jean",hopital-d-alma,Wednesday,16.0,Monday,31.6,15.6,21.8,31.6,22.0,16.0,18.4,18.4,19.9
51221711,"HÔPITAL DE HULL","Outaouais",hopital-de-hull,Thursday,59.1,Friday,74.6,15.5,61.0,67.2,67.0,62.6,59.1,74.6,59.8
